state_code,district_code,district_name,district_key,households_2011,persons_2011,males_2011,females_2011,rural_pop_2011,rural_hh_2011,urban_pop_2011,urban_hh_2011,urban_pct_2011,persons_2001,males_2001,females_2001,rural_2001,number_of_households_2001,scheduled_caste_population_2001,scheduled_tribe_population_2001,persons__literate_2001,persons__literacy_rate_2001,males__literatacy_rate_2001,females__literacy_rate_2001,total_educated_2001,below_primary_2001,primary_2001,middle_2001,matric_higher_secondary_diploma_2001,graduate_and_above_2001,x0___4_years_2001,x5___14_years_2001,x15___59_years_2001,total_workers_2001,main_workers_2001,marginal_workers_2001,non_workers_2001,total_inhabited_villages_2001,drinking_water_facilities_2001,safe_drinking_water_2001,primary_school_2001,middle_schools_2001,college_2001,medical_facility_2001,primary_health_centre_2001,bus_services_2001,paved_approach_road_2001,permanent_house_2001,semi_permanent_house_2001,temporary_house_2001,villages_inhabited,villages_uninhabited,towns,area_sqkm,pop_per_sqkm,pincodes
01,001,Kupwara,kupwara,113929,870354,474190,396164,765625,101930,104729,11999,12.03,650393.0,341303.0,309090.0,624898,87052.0,,51753,232557.0,43.24,56.1,28.68,232557.0,43762.0,49065.0,53021.0,57176.0,9893.0,72132.0,190792.0,345743.0,212501.0,123713.0,88788.0,437892.0,362.0,359.0,290.0,346.0,149,1,194.0,31,207,253,44.54,30.34,25.13,353,9,10,2379,366,"[193221, 193222, 193223, 193224, 193225]"
01,002,Badgam,badgam,103363,753745,398041,355704,655833,89417,97912,13946,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,12,9,1361,554,
01,003,Leh(Ladakh),lehladakh,21909,133487,78971,54516,87816,14905,45671,7004,34.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,1,3,45110,3,
01,004,Kargil,kargil,18338,140802,77785,63017,124464,16147,16338,2191,11.6,119307.0,64955.0,54352.0,108650,17146.0,,105377,60803.0,60.85,75.83,42.38,60803.0,13572.0,12883.0,14497.0,15065.0,1635.0,12990.0,31356.0,67313.0,55645.0,38330.0,17315.0,63662.0,127.0,127.0,122.0,126.0,74,-,105.0,7,98,65,6.4,55.1,38.5,125,2,1,14036,10,"[194102, 194103, 194109, 194301, 194302, 194403]"
01,005,Punch,punch,90261,476835,251899,224936,438205,83045,38630,7216,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,8,3,1674,285,
01,006,Rajouri,rajouri,130401,642415,345351,297064,590101,122645,52314,7756,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,10,4,2630,244,
01,007,Kathua,kathua,119583,616435,326109,290326,526722,101651,89713,17932,14.55,550084.0,289391.0,260693.0,471356,96393.0,,34174,307370.0,65.57,75.71,54.44,307370.0,56273.0,78668.0,77174.0,74150.0,14199.0,55604.0,132178.0,316216.0,205422.0,161823.0,43599.0,344662.0,556.0,556.0,538.0,452.0,241,-,214.0,27,362,452,52.8,21.5,25.6,496,16,6,2502,246,"[184101, 184102, 184104, 184141, 184142, 184143, 184144, 184145, 184148, 184151, 184152, 184201, 184202, 184203, 184204, 184206]"
01,008,Baramula,baramula,152635,1008039,534733,473306,825539,125346,182500,27289,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,9,7,4243,238,
01,009,Bandipore,bandipore,58392,392232,207680,184552,326871,48794,65361,9598,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,3,3,345,1137,
01,010,Srinagar,srinagar,191678,1236829,651124,585705,17313,2844,1219516,188834,98.6,1202447.0,649491.0,552956.0,256281,168232.0,,45427,641267.0,59.75,69.57,48.07,641267.0,89649.0,101964.0,115438.0,220417.0,76539.0,78478.0,291156.0,755683.0,384669.0,330195.0,54474.0,817778.0,168.0,168.0,157.0,149.0,73,-,74.0,14,142,151,80.5,16.2,3.3,11,0,5,1979,625,"[190001, 190002, 190003, 190004, 190006, 190008, 190009, 190010, 190011, 190012, 190017, 190018, 190020, 190023, 190024, 190025, 191101, 191102, 191121, 191131, 191201, 191202, 191203]"
01,011,Ganderbal,ganderbal,45361,297446,158720,138726,250407,38395,47039,6966,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,2,3,259,1148,
01,012,Pulwama,pulwama,86241,560440,293064,267376,479978,75587,80462,10654,14.36,652607.0,335544.0,317063.0,584100,92738.0,,21496,281518.0,49.6,60.66,37.73,281518.0,54273.0,57661.0,53728.0,75934.0,17608.0,51519.0,181917.0,375871.0,212599.0,151135.0,61464.0,440008.0,538.0,538.0,515.0,473.0,179,-,181.0,18,333,384,71.0,21.0,8.0,319,10,5,1086,516,"[192123, 192301, 192302, 192303, 192304, 192306]"
01,013,Shupiyan,shupiyan,44411,266215,136480,129735,249855,41858,16360,2553,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,3,1,312,853,
01,014,Anantnag,ananthnag,153640,1078692,559767,518925,795805,117648,282887,35992,26.23,1172434.0,610007.0,562427.0,1004071,160395.0,,101143,463197.0,46.54,57.58,34.42,463197.0,90591.0,97284.0,97638.0,110811.0,25804.0,111529.0,332187.0,649843.0,394988.0,261678.0,133310.0,777446.0,605.0,605.0,552.0,562.0,254,-,277.0,34,421,520,52.7,27.6,19.6,335,7,12,3574,302,"[192101, 192126, 192129, 192201, 192202, 192210, 192212, 192230, 192232, 192401]"
