Country,Year,Rank,Reasons For Clients To Invest In Securities Markets,"Number Of Investments In Securities Markets (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2015",Rank I,Retirement,293
India,"Calendar Year (Jan - Dec), 2015",Rank I,Capital Preservation,279
India,"Calendar Year (Jan - Dec), 2015",Rank I,Capital Gains,228
India,"Calendar Year (Jan - Dec), 2015",Rank I,Interest / Dividend,101
India,"Calendar Year (Jan - Dec), 2015",Rank I,Regular Income,99
India,"Calendar Year (Jan - Dec), 2015",Rank I,Tax,10
India,"Calendar Year (Jan - Dec), 2015",Rank I,Liquidity,6
India,"Calendar Year (Jan - Dec), 2015",Rank II,Retirement,169
India,"Calendar Year (Jan - Dec), 2015",Rank II,Capital Preservation,125
India,"Calendar Year (Jan - Dec), 2015",Rank II,Capital Gains,159
India,"Calendar Year (Jan - Dec), 2015",Rank II,Interest / Dividend,344
India,"Calendar Year (Jan - Dec), 2015",Rank II,Regular Income,68
India,"Calendar Year (Jan - Dec), 2015",Rank II,Tax,0
India,"Calendar Year (Jan - Dec), 2015",Rank II,Liquidity,60
India,"Calendar Year (Jan - Dec), 2015",Rank III,Retirement,26
India,"Calendar Year (Jan - Dec), 2015",Rank III,Capital Preservation,44
India,"Calendar Year (Jan - Dec), 2015",Rank III,Capital Gains,48
India,"Calendar Year (Jan - Dec), 2015",Rank III,Interest / Dividend,103
India,"Calendar Year (Jan - Dec), 2015",Rank III,Regular Income,17
India,"Calendar Year (Jan - Dec), 2015",Rank III,Tax,22
India,"Calendar Year (Jan - Dec), 2015",Rank III,Liquidity,38
