Country,Year,Business Age,Types Of Distributors,"Distribution For Market Participants (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2015",5 to 10 years,Authorised Persons,107
India,"Calendar Year (Jan - Dec), 2015",5 to 10 years,Brokers,17
India,"Calendar Year (Jan - Dec), 2015",5 to 10 years,DPs,1
India,"Calendar Year (Jan - Dec), 2015",5 to 10 years,MF Agents,80
India,"Calendar Year (Jan - Dec), 2015",5 to 10 years,Sub - Brokers,123
India,"Calendar Year (Jan - Dec), 2015",1 to 5 years,Authorised Persons,9
India,"Calendar Year (Jan - Dec), 2015",1 to 5 years,Brokers,3
India,"Calendar Year (Jan - Dec), 2015",1 to 5 years,DPs,1
India,"Calendar Year (Jan - Dec), 2015",1 to 5 years,MF Agents,9
India,"Calendar Year (Jan - Dec), 2015",1 to 5 years,Sub - Brokers,19
India,"Calendar Year (Jan - Dec), 2015",Less than a year,Authorised Persons,2
India,"Calendar Year (Jan - Dec), 2015",More than 10 years,Authorised Persons,187
India,"Calendar Year (Jan - Dec), 2015",Less than a year,Brokers,2
India,"Calendar Year (Jan - Dec), 2015",More than 10 years,Brokers,78
India,"Calendar Year (Jan - Dec), 2015",Less than a year,DPs,0
India,"Calendar Year (Jan - Dec), 2015",More than 10 years,DPs,88
India,"Calendar Year (Jan - Dec), 2015",More than 10 years,MF Agents,118
India,"Calendar Year (Jan - Dec), 2015",Less than a year,MF Agents,3
India,"Calendar Year (Jan - Dec), 2015",Less than a year,Sub - Brokers,0
India,"Calendar Year (Jan - Dec), 2015",More than 10 years,Sub - Brokers,169
