state_raw,total_ucc,prev_calendar_day,prev_month,prev_quarter,last_year,last_5_years
ANDAMAN & NICOBAR ISLANDS,63379,2,1070,3450,12233,51113
ANDHRA PRADESH,12071576,827,215386,777976,2438609,8198955
ARUNACHAL PRADESH,115918,21,3050,8850,28201,97436
ASSAM,5140436,249,66076,200935,708182,4572956
BIHAR,11250883,878,204645,697907,2306439,9418960
CHANDIGARH,525989,25,5471,19764,74482,327632
CHHATTISGARH,3138130,182,45408,155769,573287,2547723
DADRA & NAGAR HAVELI,105045,2,1470,5118,18239,81669
DAMAN & DIU,50679,2,663,2370,8220,37646
DELHI,10993171,533,130451,464794,1618052,7175369
GOA,501795,35,6800,22527,81037,336575
GUJARAT,22103322,809,218210,861728,3457528,14448906
HARYANA,8333464,396,107575,388532,1364816,6279264
HIMACHAL PRADESH,1554778,117,26570,90800,307610,1276727
JAMMU & KASHMIR,1400644,123,23972,84305,279138,1138112
JHARKHAND,4479211,314,69265,242396,843975,3474818
KARNATAKA,13729094,729,194869,694341,2367887,9502656
KERALA,5959555,368,89252,305162,1095030,3817230
LADAKH,11027,0,281,916,6423,9547
LAKHSWADEEP,5376,0,128,394,1518,4395
MADHYA PRADESH,13077962,574,179099,629602,2116459,10685172
MAHARASHTRA,43227907,1749,468082,1579184,6119834,29668156
MANIPUR,263018,20,5136,16235,52532,208136
MEGHALAYA,156497,20,3787,12017,36620,125419
MIZORAM,55752,9,1846,5197,14790,45784
NAGALAND,127358,24,3218,9633,29739,105716
ORISSA,5811061,347,84374,274397,1030508,4653568
PONDICHERRY,239372,8,3823,13908,45434,156543
PUNJAB,6339773,340,90365,303029,1139128,4863406
RAJASTHAN,14851123,717,197161,733349,2512427,11812880
SIKKIM,80456,11,1812,5935,18460,61588
TAMIL NADU,13268183,746,208048,741994,2407488,8506417
TELANGANA,5928945,252,86256,290106,1027117,4148009
TRIPURA,411063,41,9264,28342,91613,341077
UTTAR PRADESH,29095168,1884,495000,1697118,5572380,23514873
UTTARAKHAND,2547665,210,45726,152350,493796,2025081
WEST BENGAL,14999260,1067,246233,793927,2701162,10615597
