state_code,state_name,total_population,total_households,n_districts,urban_population,rural_population,urban_pct,area_sqkm,pop_per_sqkm,total_towns,towns_per_lakh,total_villages,literacy_rate_2011,worker_participation_rate_2011,graduate_pct_2011,permanent_house_pct,gsdp_per_capita_2011,total_ucc,investors_last_year,investors_last_5yr,investors_pre_2021,investors_per_lakh
1,Jammu & Kashmir,12541302,2119718,22,3433242,9108060,27.38,101387.0,123.7,122,0.97,6337,56.35,34.47,9.25,47.43,44923,1411671,285561,1147659,264012,11256.2
2,Himachal Pradesh,6864602,1483280,12,688552,6176050,10.03,55673.00204080171,123.3,59,0.86,17882,73.42,51.85,8.86,61.76,72752,1554778,307610,1276727,278051,22649.2
3,Punjab,27743338,5513071,20,10399146,17344192,37.48,50362.00634584324,550.9,217,0.78,12168,67.43,35.67,9.41,85.3,78766,6339773,1139128,4863406,1476367,22851.5
4,Chandigarh,1055450,241173,1,1026459,28991,97.25,114.0,9258.3,6,0.57,5,76.31,38.29,24.14,89.8,130766,525989,74482,327632,198357,49835.5
5,Uttarakhand,10086292,2056975,13,3049338,7036954,30.23,53482.99949760492,188.6,115,1.14,15745,68.22,38.39,13.23,90.25,68609,2547665,493796,2025081,522584,25258.7
6,Haryana,25351462,4857524,21,8842103,16509359,34.88,44212.00193643945,573.4,154,0.61,6642,65.48,35.17,11.31,65.77,107127,8333464,1364816,6279264,2054200,32871.7
7,Delhi,16787941,3435999,9,16368899,419042,97.5,1483.0,11320.3,113,0.67,103,75.87,33.28,21.65,,207054,10993171,1618052,7175369,3817802,65482.5
8,Rajasthan,68548437,12711146,33,17048085,51500352,24.87,342239.0,200.3,297,0.43,43264,55.84,43.6,8.0,59.96,48433,14851123,2512427,11812880,3038243,21665.2
9,Uttar Pradesh,199812341,33448035,71,44495063,155317278,22.27,240928.0,829.3,915,0.46,97814,57.25,32.94,8.67,52.41,31087,29095168,5572380,23514873,5580295,14561.2
10,Bihar,104099452,18913565,38,11758016,92341436,11.29,94163.0,1105.5,199,0.19,39073,50.44,33.36,5.83,39.9,22555,11250883,2306439,9418960,1831923,10807.8
11,Sikkim,610577,129006,4,153578,456999,25.15,7096.0,86.0,9,1.47,425,72.87,50.47,7.34,,141827,80456,18460,61588,18868,13177.0
12,Arunachal Pradesh,1383727,270577,16,317369,1066358,22.94,83743.00197201758,16.5,27,1.95,5258,55.36,42.47,7.0,20.76,85921,115918,28201,97436,18482,8377.2
13,Nagaland,1978502,396002,11,570966,1407536,28.86,16579.0,119.3,26,1.31,1400,67.85,49.24,6.68,16.31,66929,127358,29739,105716,21642,6437.1
14,Manipur,2855794,557859,9,834154,2021640,29.21,22327.0,127.9,51,1.79,2515,66.83,45.68,11.82,6.49,36291,263018,52532,208136,54882,9210.0
15,Mizoram,1097206,222853,8,571771,525435,52.11,21081.0,52.0,23,2.1,704,77.3,44.36,5.85,48.33,70740,55752,14790,45784,9968,5081.3
16,Tripura,3673917,855556,4,961453,2712464,26.17,10486.0,350.4,42,1.14,863,76.34,40.0,4.91,8.05,53422,411063,91613,341077,69986,11188.7
17,Meghalaya,2966889,548059,7,595450,2371439,20.07,22429.0,132.3,22,0.74,6459,60.16,39.96,5.07,17.2,56296,156497,36620,125419,31078,5274.8
18,Assam,31205576,6406471,27,4398542,26807034,14.1,78438.0,397.8,214,0.69,25372,61.46,38.36,5.27,18.27,33195,5140436,708182,4572956,567480,16472.8
19,West Bengal,91276115,20380315,19,29093002,62183113,31.87,88751.99976377455,1028.4,909,1.0,37469,67.42,38.08,7.85,37.67,56642,14999260,2701162,10615597,4383663,16432.8
20,Jharkhand,32988134,6254781,24,7933061,25055073,24.05,79716.00982915914,413.8,228,0.69,29492,55.56,39.71,7.25,25.3,37891,4479211,843975,3474818,1004393,13578.2
21,Odisha,41974218,9637820,30,7003656,34970562,16.69,155707.0,269.6,223,0.53,47675,63.71,41.79,6.67,24.11,38219,5811061,1030508,4653568,1157493,13844.4
22,Chhattisgarh,25545198,5650724,18,5937237,19607961,23.24,135192.0,189.0,182,0.71,19567,60.21,47.68,6.62,23.59,47768,3138130,573287,2547723,590407,12284.6
23,Madhya Pradesh,72626809,15093256,50,20069405,52557404,27.63,308252.0,235.6,476,0.66,51929,59.0,43.47,7.52,42.73,40754,13077962,2116459,10685172,2392790,18007.1
24,Gujarat,60439692,12248428,26,25745083,34694609,42.6,196244.00048503783,308.0,348,0.58,17843,67.99,40.98,7.72,61.64,100144,22103322,3457528,14448906,7654416,36570.9
25,Daman & Diu,243247,60956,2,182851,60396,75.17,111.0,2191.4,8,3.29,19,77.45,49.86,6.79,94.35,229064,50679,8220,37646,13033,20834.4
26,Dadra & Nagar Haveli,343709,76458,1,160595,183114,46.72,491.0,700.0,6,1.75,65,64.95,45.73,8.59,,159002,105045,18239,81669,23376,30562.2
27,Maharashtra,112374333,24421519,35,50818259,61556074,45.22,307713.0,365.2,534,0.48,40959,72.57,43.99,10.59,46.34,101576,43227907,6119834,29668156,13559751,38467.8
28,Andhra Pradesh,84580777,21022588,23,28219075,56361702,33.36,275044.99966753647,307.5,353,0.42,26286,59.77,46.61,11.03,53.55,69440,18000521,3465726,12346964,5653557,21282.0
29,Karnataka,61095297,13357027,30,23625962,37469335,38.67,191791.0,318.6,347,0.57,27397,66.53,45.62,9.95,49.6,82004,13729094,2367887,9502656,4226438,22471.6
30,Goa,1458545,343611,2,906814,551731,62.17,3702.0,394.0,70,4.8,320,79.91,39.58,12.6,70.3,181858,501795,81037,336575,165220,34403.8
31,Lakshadweep,64473,11574,1,50332,14141,78.07,30.0,2149.1,6,9.31,6,81.51,29.09,4.38,95.3,79696,5376,1518,4395,981,8338.4
32,Kerala,33406061,7853754,14,15934926,17471135,47.7,38852.0,859.8,520,1.56,1017,84.22,34.78,9.0,68.02,107441,5959555,1095030,3817230,2142325,17839.7
33,Tamil Nadu,72147030,18524982,32,34917440,37229590,48.4,130059.99092924153,554.7,1097,1.52,15049,71.85,45.58,10.53,56.74,90824,13268183,2407488,8506417,4761766,18390.5
34,Puducherry,1247953,302450,4,852753,395200,68.33,490.0,2546.8,10,0.8,90,76.71,35.66,14.84,46.65,104373,239372,45434,156543,82829,19181.2
35,Andaman & Nicobar,380581,94551,3,143488,237093,37.7,8249.0,46.1,5,1.31,396,77.32,40.08,8.21,28.76,79633,63379,12233,51113,12266,16653.2
