state_code,state_name,per_capita_income_2011
1,Jammu & Kashmir,51775
2,Himachal Pradesh,87721
3,Punjab,85577
4,Chandigarh,158967
5,Uttarakhand,100314
6,Haryana,106085
7,Delhi,185001
8,Rajasthan,57192
9,Uttar Pradesh,32002
10,Bihar,21750
11,Sikkim,158667
12,Arunachal Pradesh,73540
13,Nagaland,53010
14,Manipur,39762
15,Mizoram,57654
16,Tripura,47155
17,Meghalaya,59794
18,Assam,41142
19,West Bengal,51543
20,Jharkhand,41254
21,Odisha,48387
22,Chhattisgarh,55177
23,Madhya Pradesh,38497
24,Gujarat,87481
27,Maharashtra,99597
28,Andhra Pradesh,69000
29,Karnataka,90263
30,Goa,259444
32,Kerala,97912
33,Tamil Nadu,93112
34,Puducherry,119649
35,Andaman & Nicobar,89100
