Barrier,Count,Percentage_of_NonInvestors
barrier_fear_of_loss,5284,4.82865758932651
barrier_lack_knowledge,4558,4.165219775198757
barrier_lack_trust,4306,3.934935575253587
barrier_dont_know_how,3813,3.4844192634560907
barrier_regulatory_concerns,3060,2.7963081421913554
barrier_info_overload,3014,2.754272137439459
barrier_uncertain_returns,2744,2.5075390660696333
barrier_large_capital_needed,2716,2.4819519327423922
barrier_long_term_lock_in,2704,2.470986018459289
barrier_too_many_options,2355,2.1520606780590334
barrier_better_alternatives,2287,2.0899204971214473
barrier_high_fees,2048,1.8715160376496391
barrier_insufficient_funds,1690,1.5443662615370557
barrier_family_advice_against,1113,1.017088549757836
barrier_liquidity_concerns,841,0.7685278260074934
barrier_time_commitment,807,0.7374577355387005
barrier_documentation_burden,670,0.6122635474732706
barrier_language_barrier,359,0.328063602302842
